,weight,prod_distance,time_delivery
931,46.0,2163.0,14.0
932,82.0,1161.0,4.0
933,28.0,1346.0,8.0
934,1.0,2098.0,9.0
935,46.0,1783.0,10.0
936,10.0,1928.0,14.0
937,55.0,2135.0,7.0
938,46.0,2488.0,5.0
939,73.0,1772.0,5.0
940,64.0,1567.0,9.0
941,55.0,1346.0,5.0
942,73.0,1335.0,4.0
943,64.0,2913.0,10.0
944,19.0,1804.0,9.0
945,64.0,2680.0,7.0
946,28.0,1797.0,10.0
947,28.0,1161.0,14.0
948,64.0,2074.0,11.0
949,73.0,1467.0,12.0
950,28.0,2416.0,13.0
951,37.0,2913.0,9.0
952,46.0,1734.0,11.0
953,10.0,2476.0,2.0
954,37.0,2231.0,12.0
955,19.0,1772.0,12.0
956,28.0,2028.0,6.0
957,73.0,1731.0,5.0
958,28.0,2913.0,3.0
959,55.0,1797.0,7.0
960,10.0,1797.0,2.0
961,55.0,2043.0,11.0
962,10.0,1467.0,10.0
963,1.0,2913.0,1.0
964,64.0,2476.0,2.0
965,46.0,1731.0,8.0
966,19.0,2105.0,4.0
967,1.0,1804.0,8.0
968,37.0,2074.0,11.0
969,73.0,2936.0,8.0
970,10.0,1734.0,10.0
971,46.0,2043.0,10.0
972,64.0,1783.0,9.0
973,28.0,1346.0,13.0
974,82.0,1804.0,14.0
975,1.0,1783.0,2.0
976,28.0,2913.0,9.0
977,19.0,2680.0,5.0
978,64.0,1734.0,10.0
979,1.0,1467.0,14.0
